category,feature,importance_mean_mae_increase,importance_std,sample_rows
hdb,floor_area_sqm,32636.987960114653,392.41773925141064,10000
hdb,town,10692.079131353496,113.06578550656876,10000
hdb,lease_commence_year,6059.908831320111,54.091041743898046,10000
hdb,flat_type,4465.132109473653,223.88049900272568,10000
hdb,storey_midpoint,1990.863250662238,116.87916507670023,10000
hdb,flat_model,1363.3960890095284,3.6759221980444816,10000
hdb,mrt_distance_missing,133.51948172439006,5.487295850410424,10000
hdb,transaction_year,0.0,0.0,10000
hdb,transaction_month,-18.759530021547107,32.43309080127973,10000
hdb,property_age_at_transaction,-85.9972026776959,41.61114248877766,10000
hdb,nearest_mrt_distance_m,-228.66287848368907,92.55668554730748,10000
ec,area_sqm,153757.0886269178,1480.9816296717768,5000
ec,property_age_at_transaction,119733.49637163768,1034.2024610166004,5000
ec,transaction_year,22733.361464057423,816.2044327164439,5000
ec,project_name,11944.126284780277,215.618731471928,5000
ec,postal_district,10922.014117453358,415.7049607105939,5000
ec,floor_midpoint,2060.126409609254,224.78934579498988,5000
ec,market_segment,1411.5349799614098,76.93909277092665,5000
ec,transaction_month,817.7711794923283,157.56372248968532,5000
ec,sale_type,371.01050565612485,24.43427510231275,5000
ec,number_of_units,0.0,0.0,5000
ec,lease_duration_years,0.0,0.0,5000
ec,area_type,0.0,0.0,5000
ec,property_type,0.0,0.0,5000
ec,tenure_category,0.0,0.0,5000
landed,area_sqm,1233284.5333298137,12310.00358718682,3203
landed,postal_district,375913.87812526856,8169.54782614753,3203
landed,lease_duration_years,286055.29403602635,501.7941952600413,3203
landed,tenure_category,261766.43119776063,6409.30539632806,3203
landed,property_age_at_transaction,207167.12066189953,6704.129119241125,3203
landed,property_type,152170.1098056458,2174.6790021211455,3203
landed,market_segment,107196.59092087252,12199.503164028172,3203
landed,sale_type,36252.294851662125,790.4055429017736,3203
landed,number_of_units,0.0,0.0,3203
landed,transaction_year,0.0,0.0,3203
landed,is_multi_unit_transaction,0.0,0.0,3203
landed,area_type,0.0,0.0,3203
landed,transaction_month,-1036.7898471562658,1934.3600164329773,3203
