category,model,evaluation_split,rows,mae_without_mrt,mae_with_mrt,mae_absolute_change,mae_percent_change,rmse_without_mrt,rmse_with_mrt,rmse_absolute_change,rmse_percent_change,r2_without_mrt,r2_with_mrt,r2_absolute_change
hdb,hist_gradient_boosting,validation,53586,63769.888560961386,62799.105504732775,-970.7830562286108,-1.5223220208399488,85188.72068374544,82419.38782769057,-2769.332856054869,-3.2508210404235776,0.7827836777724655,0.796676754906686,0.0138930771342205
hdb,hist_gradient_boosting,test,28338,120318.9426614085,120335.929073246,16.986411837511696,0.01411782007203424,140865.2945776938,138261.04358661606,-2604.2509910777444,-1.8487527384833446,0.5238064284475681,0.5412509542697682,0.01744452582220013
ec,ridge,validation,3245,86251.00909072376,89735.07429595603,3484.0652052322694,4.039448630180697,106616.47686900875,111856.82878509474,5240.351916085987,4.915142640217228,0.8549410578685622,0.8403309075421455,-0.014610150326416771
ec,ridge,test,5832,130501.52401630791,138798.25459201392,8296.73057570601,6.3575737051693135,160181.95197852905,167701.70795344072,7519.755974911677,4.694508889440699,0.7685807136286751,0.7463427042900881,-0.022238009338586995
