category,experiment,evaluation_split,rows,median_target,mae,rmse,r2,mae_percent_of_median,mean_residual_prediction_minus_actual,training_rows,mae_change_vs_milestone4,rmse_change_vs_milestone4,r2_change_vs_milestone4
hdb,E_rpi_scaled_target_with_mrt,test_once_after_freeze,28338,628000.0,32723.361938073376,46303.711963781876,0.9485474233338734,5.210726423260091,11800.354116064342,939597,-87612.56713517263,-91957.33162283417,0.4072964690641052
ec,B_time_index_ridge,test_once_after_freeze,5832,1650000.0,101867.53715658441,138186.5005066959,0.8277720532495939,6.173790130702086,-2849.3120322449736,10663,-28633.986859723504,-21995.451471833134,0.059191339620918826
landed,C_time_index_log_target,test_once_after_freeze,3203,5100000.0,943057.8580410169,2659601.9439923833,0.7623879827094723,18.49133054982386,-516171.1830103398,5519,-262584.1127498201,-284849.74146897765,0.053623262119380954
