category,evaluation_split,rows,median_absolute_error,p80_absolute_error,p90_absolute_error,p95_absolute_error
hdb,validation,53586,50271.06520430825,94589.34280549944,128150.5716886645,163298.31458888904
hdb,test,28338,107998.51800096966,162184.45106191174,202684.0542609259,242812.39520285607
ec,validation,3245,75121.13981479732,132738.61404276837,165948.38953867098,201551.83549407736
ec,test,5832,119733.95710648829,192901.23362222774,244593.41684507538,291300.11689515
landed,validation,1694,434185.6963260239,1086275.2859353556,1909670.8983835238,2833586.9849829753
landed,test,3203,741421.7665977413,1651339.0488591609,2476090.7166264676,3341832.495787674
