location_key,block,street_name,geocode_quality,matched_address,nearest_mrt_station,nearest_mrt_distance_reference_m,mrt_distance_model_eligible,nearest_mrt_distance_m
555|ANG MO KIO AVE 10,555,ANG MO KIO AVE 10,exact_building,555 ANG MO KIO AVENUE 10 CHENG SAN PLACE SINGAPORE 560555,ANG MO KIO,810.7963967226798,True,810.7963967226798
411|ANG MO KIO AVE 10,411,ANG MO KIO AVE 10,exact_building,411 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560411,ANG MO KIO,898.3686116038444,True,898.3686116038444
521|ANG MO KIO AVE 5,521,ANG MO KIO AVE 5,exact_building,521 ANG MO KIO AVENUE 5 SINGAPORE 560521,ANG MO KIO,452.8049244022617,True,452.8049244022617
1|EAST COAST RD,1,EAST COAST RD,exact_building,1 EAST COAST ROAD SINGAPORE 450001,SIGLAP,647.2801336575186,True,647.2801336575186
531|BEDOK NTH ST 3,531,BEDOK NTH ST 3,exact_building,531 BEDOK NORTH STREET 3 SINGAPORE 460531,BEDOK NORTH,792.3877792720209,True,792.3877792720209
211|NEW UPP CHANGI RD,211,NEW UPP CHANGI RD,exact_building,211 NEW UPPER CHANGI ROAD BEDOK TOWN CENTRE SINGAPORE 460211,BEDOK,289.55479680687927,True,289.55479680687927
117|BEDOK RESERVOIR RD,117,BEDOK RESERVOIR RD,exact_building,117 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470117,KAKI BUKIT,393.44225615532054,True,393.44225615532054
171|BEDOK STH RD,171,BEDOK STH RD,exact_building,171 BEDOK SOUTH ROAD SIGLAP EAST SINGAPORE 460171,TANAH MERAH,664.0793310931264,True,664.0793310931264
172|BEDOK STH RD,172,BEDOK STH RD,exact_building,172 BEDOK SOUTH ROAD PCF SPARKLETOTS PRESCHOOL @ SIGLAP 172 (CC),TANAH MERAH,699.0209709820865,True,699.0209709820865
156|BEDOK STH AVE 3,156,BEDOK STH AVE 3,exact_building,156 BEDOK SOUTH AVENUE 3 SIGLAP EAST SINGAPORE 460156,BAYSHORE,614.3809879678444,True,614.3809879678444
